CELL_A	LONGITUDE_A	LATITUDE_A	CELL_B	LONGITUDE_B	LATITUDE_B
60059	112.579	35.1056	60305	112.574	35.0982
60060	112.589	35.0766	60061	112.59	35.076
60060	112.589	35.0766	60261	112.591	35.0779
60060	112.589	35.0766	60326	112.589	35.0764
60061	112.59	35.076	60261	112.591	35.0779
60061	112.59	35.076	60285	112.593	35.0774
60061	112.59	35.076	60326	112.589	35.0764
60061	112.59	35.076	60338	112.593	35.0702
60061	112.59	35.076	60348	112.594	35.073
60062	112.578	35.1685	60147	112.541	35.1849
60062	112.578	35.1685	60210	112.599	35.1768
60062	112.578	35.1685	60233	112.58	35.1865
60062	112.578	35.1685	60287	112.581	35.1534
60063	112.712	35.1077	60093	112.741	35.1106
60063	112.712	35.1077	60117	112.683	35.1045
60063	112.712	35.1077	60171	112.737	35.0866
60063	112.712	35.1077	60237	112.708	35.0918
60063	112.712	35.1077	60244	112.694	35.1449
60063	112.712	35.1077	60290	112.676	35.1169
60063	112.712	35.1077	60308	112.729	35.1346
60064	112.275	35.1825	60096	112.236	35.1698
60064	112.275	35.1825	60229	112.396	35.2265
60064	112.275	35.1825	60235	112.303	35.176
60064	112.275	35.1825	60242	112.186	35.2466
60065	112.336	35.1138	60090	112.337	35.1134
60065	112.336	35.1138	60120	112.393	35.1411
60065	112.336	35.1138	60140	112.323	35.0921
60065	112.336	35.1138	60162	112.308	35.1211
60065	112.336	35.1138	60235	112.303	35.176
60066	112.353	35.1052	60072	112.386	35.1139
60066	112.353	35.1052	60090	112.337	35.1134
60066	112.353	35.1052	60101	112.391	35.0835
60066	112.353	35.1052	60120	112.393	35.1411
60066	112.353	35.1052	60225	112.35	35.0931
60067	112.616	35.1054	60127	112.633	35.0954
60067	112.616	35.1054	60178	112.627	35.1149
60067	112.616	35.1054	60256	112.61	35.0989
60067	112.616	35.1054	60269	112.625	35.089
60067	112.616	35.1054	60274	112.608	35.1103
60067	112.616	35.1054	60292	112.606	35.1058
60067	112.616	35.1054	60324	112.607	35.1011
60068	112.197	35.042	60111	112.25	35.0466
60068	112.197	35.042	60173	112.202	35.093
60068	112.197	35.042	60223	112.164	35.0374
60068	112.197	35.042	60224	112.154	35.0876
60068	112.197	35.042	60234	112.195	35.0337
60068	112.197	35.042	60248	112.211	35.0583
60069	112.593	35.0672	60071	112.593	35.067
60069	112.593	35.0672	60276	112.595	35.0688
60069	112.593	35.0672	60279	112.593	35.0685
60069	112.593	35.0672	60334	112.592	35.0672
60070	112.592	35.0671	60071	112.593	35.067
60070	112.592	35.0671	60271	112.59	35.0665
60070	112.592	35.0671	60323	112.59	35.0675
60070	112.592	35.0671	60334	112.592	35.0672
60071	112.593	35.067	60169	112.601	35.057
60071	112.593	35.067	60271	112.59	35.0665
60071	112.593	35.067	60276	112.595	35.0688
60071	112.593	35.067	60320	112.599	35.0642
60071	112.593	35.067	60334	112.592	35.0672
60072	112.386	35.1139	60101	112.391	35.0835
60072	112.386	35.1139	60120	112.393	35.1411
60072	112.386	35.1139	60131	112.414	35.1378
60072	112.386	35.1139	60155	112.4	35.0971
60073	112.514	35.0682	60094	112.505	35.0367
60073	112.514	35.0682	60133	112.54	35.0669
60073	112.514	35.0682	60148	112.521	35.1015
60073	112.514	35.0682	60170	112.537	35.0795
60073	112.514	35.0682	60207	112.499	35.0556
60073	112.514	35.0682	60243	112.501	35.0849
60074	112.571	35.0869	60075	112.572	35.087
60074	112.571	35.0869	60115	112.573	35.0785
60074	112.571	35.0869	60116	112.576	35.0794
60074	112.571	35.0869	60189	112.567	35.0871
60074	112.571	35.0869	60190	112.567	35.0872
60074	112.571	35.0869	60199	112.567	35.0817
60074	112.571	35.0869	60342	112.567	35.0919
60075	112.572	35.087	60116	112.576	35.0794
60075	112.572	35.087	60142	112.573	35.0923
60075	112.572	35.087	60340	112.574	35.09
60075	112.572	35.087	60342	112.567	35.0919
60076	112.524	35.1234	60144	112.512	35.1457
60076	112.524	35.1234	60148	112.521	35.1015
60076	112.524	35.1234	60211	112.51	35.1133
60076	112.524	35.1234	60212	112.531	35.1334
60076	112.524	35.1234	60230	112.539	35.1095
60077	112.573	35.1002	60201	112.568	35.0998
60077	112.573	35.1002	60252	112.568	35.099
60077	112.573	35.1002	60270	112.569	35.1038
60077	112.573	35.1002	60305	112.574	35.0982
60078	112.588	35.0893	60079	112.588	35.0883
60078	112.588	35.0893	60163	112.585	35.0911
60078	112.588	35.0893	60192	112.584	35.0859
60078	112.588	35.0893	60249	112.592	35.0926
60078	112.588	35.0893	60306	112.592	35.0897
60079	112.588	35.0883	60192	112.584	35.0859
60079	112.588	35.0883	60193	112.584	35.0857
60079	112.588	35.0883	60231	112.589	35.0832
60079	112.588	35.0883	60306	112.592	35.0897
60080	112.462	35.1055	60138	112.464	35.1308
60080	112.462	35.1055	60154	112.489	35.1146
60080	112.462	35.1055	60158	112.461	35.0834
60080	112.462	35.1055	60159	112.48	35.0932
60081	112.625	35.0403	60151	112.631	35.031
60081	112.625	35.0403	60168	112.613	35.021
60081	112.625	35.0403	60169	112.601	35.057
60081	112.625	35.0403	60264	112.595	35.0468
60081	112.625	35.0403	60278	112.621	35.0685
60081	112.625	35.0403	60291	112.605	35.0618
60081	112.625	35.0403	60302	112.636	35.0543
60082	112.724	35.0489	60119	112.75	35.1045
60082	112.724	35.0489	60167	112.664	35.0032
60082	112.724	35.0489	60171	112.737	35.0866
60082	112.724	35.0489	60172	112.698	35.0375
60082	112.724	35.0489	60221	112.686	35.0247
60083	112.349	35.0714	60084	112.351	35.0333
60083	112.349	35.0714	60101	112.391	35.0835
60083	112.349	35.0714	60102	112.332	35.0535
60083	112.349	35.0714	60103	112.38	35.0424
60083	112.349	35.0714	60140	112.323	35.0921
60083	112.349	35.0714	60225	112.35	35.0931
60084	112.351	35.0333	60085	112.354	34.9977
60084	112.351	35.0333	60102	112.332	35.0535
60084	112.351	35.0333	60103	112.38	35.0424
60084	112.351	35.0333	60240	112.371	35.0116
60085	112.354	34.9977	60174	112.361	34.9668
60085	112.354	34.9977	60194	112.394	34.9744
60085	112.354	34.9977	60240	112.371	35.0116
60086	112.075	35.1364	60132	112.09	35.1516
60086	112.075	35.1364	60204	112.056	35.1816
60086	112.075	35.1364	60205	112.058	35.1022
60086	112.075	35.1364	60238	112.082	35.1088
60087	112.19	35.136	60096	112.236	35.1698
60087	112.19	35.136	60112	112.13	35.1224
60087	112.19	35.136	60134	112.174	35.1064
60087	112.19	35.136	60179	112.229	35.143
60087	112.19	35.136	60181	112.217	35.1143
60088	112.231	35.1185	60089	112.228	35.077
60088	112.231	35.1185	60175	112.269	35.0817
60088	112.231	35.1185	60179	112.229	35.143
60088	112.231	35.1185	60181	112.217	35.1143
60088	112.231	35.1185	60236	112.258	35.1282
60089	112.228	35.077	60111	112.25	35.0466
60089	112.228	35.077	60173	112.202	35.093
60089	112.228	35.077	60175	112.269	35.0817
60089	112.228	35.077	60181	112.217	35.1143
60089	112.228	35.077	60248	112.211	35.0583
60090	112.337	35.1134	60120	112.393	35.1411
60090	112.337	35.1134	60140	112.323	35.0921
60090	112.337	35.1134	60225	112.35	35.0931
60091	112.414	34.9883	60099	112.453	34.9649
60091	112.414	34.9883	60123	112.447	35.0026
60091	112.414	34.9883	60194	112.394	34.9744
60091	112.414	34.9883	60208	112.421	34.9322
60091	112.414	34.9883	60240	112.371	35.0116
60092	112.486	34.9498	60099	112.453	34.9649
60092	112.486	34.9498	60118	112.481	35.0206
60092	112.486	34.9498	60126	112.472	34.9325
60092	112.486	34.9498	60137	112.525	34.9568
60093	112.741	35.1106	60119	112.75	35.1045
60093	112.741	35.1106	60135	112.752	35.1444
60093	112.741	35.1106	60171	112.737	35.0866
60093	112.741	35.1106	60308	112.729	35.1346
60094	112.505	35.0367	60105	112.468	35.0495
60094	112.505	35.0367	60118	112.481	35.0206
60094	112.505	35.0367	60130	112.529	35.0233
60094	112.505	35.0367	60133	112.54	35.0669
60094	112.505	35.0367	60207	112.499	35.0556
60095	112.643	35.1292	60109	112.659	35.1735
60095	112.643	35.1292	60152	112.664	35.1274
60095	112.643	35.1292	60178	112.627	35.1149
60095	112.643	35.1292	60232	112.666	35.1426
60095	112.643	35.1292	60307	112.612	35.1282
60096	112.236	35.1698	60179	112.229	35.143
60096	112.236	35.1698	60242	112.186	35.2466
60097	112.086	35.0698	60112	112.13	35.1224
60097	112.086	35.0698	60205	112.058	35.1022
60097	112.086	35.0698	60206	112.062	35.0684
60097	112.086	35.0698	60220	112.138	35.0371
60097	112.086	35.0698	60224	112.154	35.0876
60097	112.086	35.0698	60238	112.082	35.1088
60098	112.273	35.0281	60102	112.332	35.0535
60098	112.273	35.0281	60111	112.25	35.0466
60098	112.273	35.0281	60136	112.29	35.0791
60098	112.273	35.0281	60175	112.269	35.0817
60098	112.273	35.0281	60239	112.264	35.0181
60099	112.453	34.9649	60118	112.481	35.0206
60099	112.453	34.9649	60123	112.447	35.0026
60099	112.453	34.9649	60126	112.472	34.9325
60099	112.453	34.9649	60208	112.421	34.9322
60100	112.601	35.0038	60168	112.613	35.021
60100	112.601	35.0038	60176	112.591	34.9842
60100	112.601	35.0038	60241	112.578	35.0243
60100	112.601	35.0038	60247	112.627	34.9992
60101	112.391	35.0835	60103	112.38	35.0424
60101	112.391	35.0835	60155	112.4	35.0971
60101	112.391	35.0835	60225	112.35	35.0931
60102	112.332	35.0535	60136	112.29	35.0791
60102	112.332	35.0535	60140	112.323	35.0921
60103	112.38	35.0424	60240	112.371	35.0116
60104	112.137	35.2072	60107	112.116	35.2525
60104	112.137	35.2072	60132	112.09	35.1516
60104	112.137	35.2072	60204	112.056	35.1816
60104	112.137	35.2072	60242	112.186	35.2466
60105	112.468	35.0495	60106	112.447	35.0198
60105	112.468	35.0495	60118	112.481	35.0206
60105	112.468	35.0495	60158	112.461	35.0834
60105	112.468	35.0495	60207	112.499	35.0556
60106	112.447	35.0198	60118	112.481	35.0206
60106	112.447	35.0198	60123	112.447	35.0026
60107	112.116	35.2525	60204	112.056	35.1816
60107	112.116	35.2525	60242	112.186	35.2466
60107	112.116	35.2525	60281	112.59	35.2161
60108	112.715	35.1787	60121	112.75	35.1678
60108	112.715	35.1787	60150	112.703	35.1795
60108	112.715	35.1787	60300	112.723	35.1711
60109	112.659	35.1735	60232	112.666	35.1426
60109	112.659	35.1735	60244	112.694	35.1449
60109	112.659	35.1735	60294	112.703	35.1795
60109	112.659	35.1735	60295	112.65	35.1856
60110	112.685	35.0472	60172	112.698	35.0375
60110	112.685	35.0472	60221	112.686	35.0247
60110	112.685	35.0472	60289	112.662	35.0635
60111	112.25	35.0466	60125	112.217	34.9996
60111	112.25	35.0466	60175	112.269	35.0817
60111	112.25	35.0466	60234	112.195	35.0337
60111	112.25	35.0466	60239	112.264	35.0181
60111	112.25	35.0466	60248	112.211	35.0583
60112	112.13	35.1224	60132	112.09	35.1516
60112	112.13	35.1224	60134	112.174	35.1064
60112	112.13	35.1224	60224	112.154	35.0876
60112	112.13	35.1224	60238	112.082	35.1088
60113	112.574	35.0919	60142	112.573	35.0923
60113	112.574	35.0919	60254	112.574	35.0919
60113	112.574	35.0919	60335	112.578	35.0908
60113	112.574	35.0919	60340	112.574	35.09
60114	112.6	35.0703	60217	112.6	35.0701
60114	112.6	35.0703	60268	112.605	35.0667
60114	112.6	35.0703	60277	112.596	35.0711
60114	112.6	35.0703	60337	112.601	35.0733
60115	112.573	35.0785	60116	112.576	35.0794
60115	112.573	35.0785	60199	112.567	35.0817
60115	112.573	35.0785	60296	112.569	35.0716
60115	112.573	35.0785	60297	112.569	35.0716
60115	112.573	35.0785	60339	112.572	35.0711
60115	112.573	35.0785	60346	112.569	35.0714
60115	112.573	35.0785	60347	112.574	35.0708
